Event type,Details,Headline,Date,Lat,Lng
Product,"UberEATS, Uber's food delivery service, is spun off into a separate standalone app, and now offers all-day delivery in Toronto. The new app is not available for other regions.",UberEATS spun off into separate application,December 2015,43.6532,-79.3832
Product,"Uber announces UberX, a service that uses lower-cost hybrid vehicles.",UberX launches,July 2012,-44,-125
Product,"Uber opens up the Uber RUSH API to developers. The goal of this API is to make it easy for merchants to integrate the use of Uber drivers into their delivery system. The tool has been used by select small businesses since October 2015, and the opening up to the public is to encourage more widespread adoption.",Uber opens UberRUSH API to developers,June 2016,-31.15,-125
Product,"On March 1, the new UberEATS app with all-day delivery launches in Los Angeles, California. On March 15, it launches in Chicago, Houston, and San Francisco, and announces plans to launch in a number of other US cities in the coming months.",Uber begins nationwide expansion of UberEATS,March 2016,-37.95,-125
Product,"Uber begins beta testing a program in select cities to pick up passengers aged 13 through 17, previously not allowed on the company's terms of service.",Uber begins testing program to pick up passengers aged 13 through 17,March 2017,-41,-120
Product,"Uber announces that it is changing its app to inform riders of the price of their ride when they book it, rather than simply providing a surge multiplier. The move is prompted by the observation that UberPool users, who do see the ride price upfront, are more likely to continue using the service. Price changes triggered by destination changes will be sent to riders in real time. Changes to routes due to traffic or other reasons not under the rider's control will not result in a change to the price charged upfront. The move is not an end to surge pricing but rather a change in the way the surge pricing is communicated to customers. The change, officially announced in late June, had already been rolled out at the time of announcement in several cities, and had received some commentary in May.",Uber changes app to provide price instead of surge multiplier,May 2016,-34.55,-125
Product,"Uber launches a redesigned rider app, with a simplified user flow that focuses on identifying the destination first, then shows ride options with prices, and then gives driver contact information and allows riders to make adjustments such as split fare and get more information about the destination. The app also connects better with the user's current location, real-world identity, favorite places (such as work and home) and integration with services such as Foursquare and Yelp for destination-specific information, in what is seen as an attempt to pull users into spending more time in the app.",Uber launches redesigned application,November 2016,-44,-120
Product,"A Visa credit card is announced for the United States market, in partnership with Barclays. The card will become open for applications on November 2, 2017.",Uber announces credit card in partnership with Barclays,October 2017,-37.95,-120
Product,Uber begins mapping UK streets in an effort to identify the best pick-up and drop-off points from its own images.,Uber begins mapping UK streets from its own images,September 2016,53.5074,-0.1278
Regulatory,Administrative judge recommends that Uber be fined $7.3 million and suspended from operating in California.,Judge recommends that Uber be fined $7.3 million and suspended from operating in California,July 2015,38.5816,-119.4944
Regulatory,"Uber leaves Budapest, Hungary.",Uber leaves Budapest,July 2016,47.4979,19.0402
Regulatory,"The Chinese government issues guidelines to make ride-hailing services, such as Uber, legal in the country.",The Chinese government releases guidelines to make ride-sharing legal in the country,July 2016,35.9042,118.4074
Regulatory,California Labor Commission deems Uber drivers as employees.,California Labor Commission deems Uber drivers as employees,June 2015,38.5816,-121.4944
Regulatory,"On May 9, Uber and Lyft cease operations in Austin, Texas. This is in response to a city ordinance upheld by Austin voters on May 7 that would require drivers for Uber, Lyft, and other transportation network companies to get fingerprint checks, to have their vehicles labeled, and to not pick up and drop off in certain city lanes.",Uber and Lyft leave Austin,May 2016,30.2672,-97.7431
Regulatory,Uber loses the case of Aslam v Uber BV on workers' rights. Appeals to the UK Employment Appeal Tribunal.,Uber loses UK case on workers’ rights,October 2016,53.1074,-0.1278
